filename;stationsname;geopos;gemeinde;plz;anzahl_bikes;join_key
2023-04-30T20:36:00+00:00;Bachmätteli;46.93948, 7.38999;0351;3018;0;2023-04-30T22:36:00+02:00-Bachmätteli
2023-05-11T18:16:00+00:00;Rosengarten Ost;46.95207, 7.46158;0351;3013;0;2023-05-11T20:16:00+02:00-Rosengarten Ost
2023-04-30T20:36:00+00:00;Schwarztorstrasse;46.94461, 7.42907;0351;3007;5;2023-04-30T22:36:00+02:00-Schwarztorstrasse
2023-05-11T18:16:00+00:00;Schenkstrasse;46.94588, 7.41548;0351;3008;9;2023-05-11T20:16:00+02:00-Schenkstrasse
2023-04-30T20:36:00+00:00;Dampfzentrale;46.9407, 7.44314;0351;3005;2;2023-04-30T22:36:00+02:00-Dampfzentrale
2023-05-11T18:16:00+00:00;Brünnenstrasse;46.94279, 7.38707;0351;3018;3;2023-05-11T20:16:00+02:00-Brünnenstrasse
2023-04-30T20:36:00+00:00;Wylergut;46.96479, 7.4484;0351;3014;5;2023-04-30T22:36:00+02:00-Wylergut
2023-05-11T18:16:00+00:00;Brunnmattschulhaus;46.94581, 7.42705;0351;3007;2;2023-05-11T20:16:00+02:00-Brunnmattschulhaus
2023-04-30T20:36:00+00:00;Wankdorf Bhf Nord;46.96778, 7.46464;0351;3014;7;2023-04-30T22:36:00+02:00-Wankdorf Bhf Nord
2023-05-11T18:16:00+00:00;Loryplatz;46.94467, 7.4223;0351;3008;7;2023-05-11T20:16:00+02:00-Loryplatz
2023-04-30T20:36:00+00:00;Marzilibahn;46.94469, 7.44326;0351;3005;2;2023-04-30T22:36:00+02:00-Marzilibahn
2023-05-11T18:16:00+00:00;Friedbühlstrasse;46.94802, 7.42189;0351;3008;0;2023-05-11T20:16:00+02:00-Friedbühlstrasse
2023-04-30T20:36:00+00:00;Stadion Wankdorf;46.96274, 7.46275;0351;3014;5;2023-04-30T22:36:00+02:00-Stadion Wankdorf
2023-05-11T18:16:00+00:00;Gäbelbach;46.94771, 7.37747;0351;3027;9;2023-05-11T20:16:00+02:00-Gäbelbach
2023-04-30T20:36:00+00:00;Schenkstrasse;46.94588, 7.41548;0351;3008;7;2023-04-30T22:36:00+02:00-Schenkstrasse
2023-05-11T18:16:00+00:00;Bundesamt für Energie: Zugang zur Station ist von der Pulverstrasse her möglich (Baustelle);46.97597, 7.47264;0362;3063;1;2023-05-11T20:16:00+02:00-Bundesamt für Energie: Zugang zur Station ist von der Pulverstrasse her möglich (Baustelle)
2023-04-30T20:36:00+00:00;Gäbelbach;46.94771, 7.37747;0351;3027;6;2023-04-30T22:36:00+02:00-Gäbelbach
2023-05-11T18:16:00+00:00;Unitobler Ost;46.95452, 7.42949;0351;3012;6;2023-05-11T20:16:00+02:00-Unitobler Ost
2023-04-30T20:36:00+00:00;Friedheimweg SECO;46.93645, 7.43787;0351;3007;4;2023-04-30T22:36:00+02:00-Friedheimweg SECO
2023-05-11T18:16:00+00:00;Merzenacker;46.94686, 7.48365;0351;3006;3;2023-05-11T20:16:00+02:00-Merzenacker
2023-04-30T20:36:00+00:00;Bahnhofplatz Mobile Station Bern 4;46.94832, 7.44034;0351;3011;7;2023-04-30T22:36:00+02:00-Bahnhofplatz Mobile Station Bern 4
2023-05-11T18:16:00+00:00;Wyleregg;46.96036, 7.44858;0351;3014;1;2023-05-11T20:16:00+02:00-Wyleregg
2023-04-30T20:36:00+00:00;Wabernstrasse;46.93858, 7.43786;0351;3007;8;2023-04-30T22:36:00+02:00-Wabernstrasse
2023-05-11T18:16:00+00:00;Eigerplatz;46.9414, 7.43169;0351;3007;13;2023-05-11T20:16:00+02:00-Eigerplatz
2023-04-30T20:36:00+00:00;Stämpflistrasse;46.94329, 7.4144;0351;3008;0;2023-04-30T22:36:00+02:00-Stämpflistrasse
2023-05-11T18:16:00+00:00;Falkenplatz;46.95155, 7.43454;0351;3012;6;2023-05-11T20:16:00+02:00-Falkenplatz
2023-04-30T20:36:00+00:00;UniS;46.95035, 7.43529;0351;3012;9;2023-04-30T22:36:00+02:00-UniS
2023-05-11T18:16:00+00:00;Bethlehem Kirche;46.94933, 7.39398;0351;3027;0;2023-05-11T20:16:00+02:00-Bethlehem Kirche
2023-04-30T20:36:00+00:00;Viktoriaplatz;46.95518, 7.45179;0351;3013;7;2023-04-30T22:36:00+02:00-Viktoriaplatz
2023-05-11T18:16:00+00:00;Marzilibahn;46.94469, 7.44326;0351;3005;11;2023-05-11T20:16:00+02:00-Marzilibahn
2023-04-30T20:36:00+00:00;Waldmeisterstrasse;46.93994, 7.38251;0351;3018;2;2023-04-30T22:36:00+02:00-Waldmeisterstrasse
2023-05-11T18:16:00+00:00;Friedheimweg SECO;46.93645, 7.43787;0351;3007;11;2023-05-11T20:16:00+02:00-Friedheimweg SECO
2023-04-30T20:36:00+00:00;Markuskirche;46.96352, 7.45551;0351;3014;0;2023-04-30T22:36:00+02:00-Markuskirche
2023-05-11T18:16:00+00:00;Sporthalle Weissenstein;46.93711, 7.41782;0351;3008;1;2023-05-11T20:16:00+02:00-Sporthalle Weissenstein
2023-04-30T20:36:00+00:00;Hallenbad Hirschengraben;46.94654, 7.43566;0351;3011;2;2023-04-30T22:36:00+02:00-Hallenbad Hirschengraben
2023-05-11T18:16:00+00:00;Wabern Zentrum;46.92899, 7.45028;0355;3084;0;2023-05-11T20:16:00+02:00-Wabern Zentrum
2023-04-30T20:36:00+00:00;Kirchbergerstrasse;46.93885, 7.42107;0351;3008;3;2023-04-30T22:36:00+02:00-Kirchbergerstrasse
2023-05-11T18:16:00+00:00;Helvetiaplatz Bern;46.94414, 7.44968;0351;3005;4;2023-05-11T20:16:00+02:00-Helvetiaplatz Bern
2023-04-30T20:36:00+00:00;Fellerstrasse;46.94695, 7.38894;0351;3027;0;2023-04-30T22:36:00+02:00-Fellerstrasse
2023-05-11T18:16:00+00:00;Kirchbergerstrasse;46.93885, 7.42107;0351;3008;1;2023-05-11T20:16:00+02:00-Kirchbergerstrasse
2023-04-30T20:36:00+00:00;Wabern Bahnhof;46.92886, 7.4464;0355;3084;0;2023-04-30T22:36:00+02:00-Wabern Bahnhof
2023-05-11T18:26:00+00:00;Fischermätteli;46.9406, 7.41874;0351;3008;8;2023-05-11T20:26:00+02:00-Fischermätteli
2023-04-30T20:36:00+00:00;Eigerplatz Süd;46.94002, 7.43177;0351;3007;1;2023-04-30T22:36:00+02:00-Eigerplatz Süd
2023-05-11T18:26:00+00:00;Giacomettistrasse;46.94581, 7.47292;0351;3006;0;2023-05-11T20:26:00+02:00-Giacomettistrasse
2023-04-30T20:36:00+00:00;Waldheim;46.95393, 7.42675;0351;3012;3;2023-04-30T22:36:00+02:00-Waldheim
2023-05-11T18:26:00+00:00;Worblaufen RBS Bahnhof;46.9794, 7.45718;0362;3048;3;2023-05-11T20:26:00+02:00-Worblaufen RBS Bahnhof
2023-04-30T20:36:00+00:00;Hauptgebäude Uni Bern;46.95067, 7.43704;0351;3012;12;2023-04-30T22:36:00+02:00-Hauptgebäude Uni Bern
2023-05-11T18:26:00+00:00;Westside;46.94396, 7.3746;0351;3027;10;2023-05-11T20:26:00+02:00-Westside
2023-05-09T03:26:00+00:00;Unitobler Ost;46.95452, 7.42949;0351;3012;2;2023-05-09T05:26:00+02:00-Unitobler Ost
2023-04-30T20:36:00+00:00;Salem-Spital;46.9527, 7.45458;0351;3013;1;2023-04-30T22:36:00+02:00-Salem-Spital
2023-05-11T18:26:00+00:00;Kleefeld;46.93721, 7.38722;0351;3018;1;2023-05-11T20:26:00+02:00-Kleefeld
2023-05-09T03:26:00+00:00;Monbijoubrücke;46.93965, 7.44023;0351;3007;8;2023-05-09T05:26:00+02:00-Monbijoubrücke
2023-04-30T20:36:00+00:00;Vidmar;46.93562, 7.41658;0355;3097;1;2023-04-30T22:36:00+02:00-Vidmar
2023-05-11T18:26:00+00:00;Kasernenstrasse HKB;46.95527, 7.45932;0351;3013;4;2023-05-11T20:26:00+02:00-Kasernenstrasse HKB
2023-05-09T03:26:00+00:00;Sporthalle Weissenstein;46.93711, 7.41782;0351;3008;8;2023-05-09T05:26:00+02:00-Sporthalle Weissenstein
2023-04-30T20:36:00+00:00;Stapfenacker;46.94393, 7.3853;0351;3018;2;2023-04-30T22:36:00+02:00-Stapfenacker
2023-05-11T18:26:00+00:00;Wankdorf Bhf Süd;46.96659, 7.46396;0351;3014;6;2023-05-11T20:26:00+02:00-Wankdorf Bhf Süd
2023-05-09T03:26:00+00:00;Allmendstrasse;46.95935, 7.4518;0351;3014;3;2023-05-09T05:26:00+02:00-Allmendstrasse
2023-04-30T20:36:00+00:00;Engehalde;46.9566, 7.44022;0351;3012;1;2023-04-30T22:36:00+02:00-Engehalde
2023-05-11T18:26:00+00:00;Wegmühlegässli;46.95816, 7.49261;0363;3072;7;2023-05-11T20:26:00+02:00-Wegmühlegässli
2023-05-09T03:26:00+00:00;Sonnenhofspital;46.94321, 7.47354;0351;3006;0;2023-05-09T05:26:00+02:00-Sonnenhofspital
2023-04-30T20:36:00+00:00;Steinhölzli;46.93046, 7.42816;0355;3097;1;2023-04-30T22:36:00+02:00-Steinhölzli
2023-05-11T18:26:00+00:00;Elfenauweg;46.93946, 7.46973;0351;3006;5;2023-05-11T20:26:00+02:00-Elfenauweg
2023-05-09T03:26:00+00:00;Wankdorffeldstrasse;46.96503, 7.45899;0351;3014;0;2023-05-09T05:26:00+02:00-Wankdorffeldstrasse
2023-04-30T20:36:00+00:00;Kocherpark;46.94603, 7.43321;0351;3008;1;2023-04-30T22:36:00+02:00-Kocherpark
2023-05-11T18:26:00+00:00;Cäcilienplatz;46.94167, 7.42598;0351;3007;1;2023-05-11T20:26:00+02:00-Cäcilienplatz
2023-05-09T03:26:00+00:00;Bundesgasse;46.94661, 7.44162;0351;3011;5;2023-05-09T05:26:00+02:00-Bundesgasse
2023-04-30T20:36:00+00:00;Kleine Schanze;46.94599, 7.43942;0351;3011;7;2023-04-30T22:36:00+02:00-Kleine Schanze
2023-05-11T18:26:00+00:00;Wankdorf Bhf Nord;46.96778, 7.46464;0351;3014;1;2023-05-11T20:26:00+02:00-Wankdorf Bhf Nord
